,Rank,Title,Genre,Year,Votes,Rating,recom_percentage
6,7,La La Land,"['Comedy', 'Drama', 'Music']",2016,258682,8.3,16.85
14,15,Colossal,"['Action', 'Comedy', 'Drama']",2016,8612,6.4,36.52
65,66,Kingsman: The Secret Service,"['Action', 'Adventure', 'Comedy']",2014,440209,7.7,19.66
74,75,Zootopia,"['Animation', 'Adventure', 'Comedy']",2016,296853,8.1,11.24
104,105,The Man from U.N.C.L.E.,"['Action', 'Adventure', 'Comedy']",2015,202973,7.3,7.87
119,120,Finding Dory,"['Animation', 'Adventure', 'Comedy']",2016,157026,7.4,19.1
131,132,Into the Woods,"['Adventure', 'Comedy', 'Drama']",2014,109756,6.0,11.24
217,218,Monster Trucks,"['Action', 'Adventure', 'Comedy']",2016,7044,5.7,25.28
221,222,Cars,"['Animation', 'Adventure', 'Comedy']",2006,283445,7.1,25.28
238,239,The Grand Budapest Hotel,"['Adventure', 'Comedy', 'Drama']",2014,530881,8.1,26.97
241,242,Inside Out,"['Animation', 'Adventure', 'Comedy']",2015,416689,8.2,19.66
242,243,Rock Dog,"['Animation', 'Adventure', 'Comedy']",2016,1109,5.8,36.52
264,265,Teenage Mutant Ninja Turtles: Out of the Shadows,"['Action', 'Adventure', 'Comedy']",2016,59312,6.0,11.24
273,274,Sing Street,"['Comedy', 'Drama', 'Music']",2016,52144,8.0,28.09
378,379,Swiss Army Man,"['Adventure', 'Comedy', 'Drama']",2016,61812,7.1,11.24
386,387,Pixels,"['Action', 'Comedy', 'Family']",2015,101092,5.6,28.09
403,404,Despicable Me,"['Animation', 'Adventure', 'Comedy']",2010,410607,7.7,8.43
407,408,Tangled,"['Animation', 'Adventure', 'Comedy']",2010,316459,7.8,19.1
412,413,Monsters University,"['Animation', 'Adventure', 'Comedy']",2013,252119,7.3,30.9
415,416,Tusk,"['Comedy', 'Drama', 'Horror']",2014,34546,5.4,16.85
447,448,Hunt for the Wilderpeople,"['Adventure', 'Comedy', 'Drama']",2016,52331,7.9,16.85
464,465,Goosebumps,"['Adventure', 'Comedy', 'Family']",2015,57602,6.3,19.66
485,486,Moonrise Kingdom,"['Adventure', 'Comedy', 'Drama']",2012,254446,7.8,25.28
486,487,Hairspray,"['Comedy', 'Drama', 'Family']",2007,102954,6.7,39.33
489,490,Ratatouille,"['Animation', 'Comedy', 'Family']",2007,504039,8.0,30.9
496,497,Men in Black 3,"['Action', 'Adventure', 'Comedy']",2012,278379,6.8,27.53
503,504,Youth,"['Comedy', 'Drama', 'Music']",2015,52636,7.3,19.1
514,515,Magic Mike XXL,"['Comedy', 'Drama', 'Music']",2015,42506,5.7,27.53
619,620,The Secret Life of Walter Mitty,"['Adventure', 'Comedy', 'Drama']",2013,249877,7.3,28.09
629,630,Night at the Museum: Secret of the Tomb,"['Adventure', 'Comedy', 'Family']",2014,74886,6.2,11.24
632,633,The Host,"['Comedy', 'Drama', 'Horror']",2006,73491,7.0,19.66
641,642,Relatos salvajes,"['Comedy', 'Drama', 'Thriller']",2014,110100,8.1,11.24
657,658,Teenage Mutant Ninja Turtles,"['Action', 'Adventure', 'Comedy']",2014,178527,5.9,11.24
712,713,The Book of Life,"['Animation', 'Adventure', 'Comedy']",2014,50388,7.3,8.43
715,716,Happy Feet,"['Animation', 'Comedy', 'Family']",2006,141141,6.5,19.66
728,729,The A-Team,"['Action', 'Adventure', 'Comedy']",2010,219116,6.8,11.24
731,732,Paul,"['Adventure', 'Comedy', 'Sci-Fi']",2011,201707,7.0,19.66
775,776,Cars 2,"['Animation', 'Adventure', 'Comedy']",2011,110490,6.2,19.66
788,789,Hotel Transylvania 2,"['Animation', 'Comedy', 'Family']",2015,69157,6.7,25.28
793,794,Ma vie de Courgette,"['Animation', 'Comedy', 'Drama']",2016,4370,7.8,19.66
810,811,Turbo Kid,"['Action', 'Adventure', 'Comedy']",2015,19309,6.7,19.66
814,815,Fantastic Mr. Fox,"['Animation', 'Adventure', 'Comedy']",2009,149779,7.8,19.66
833,834,Fool's Gold,"['Action', 'Adventure', 'Comedy']",2008,62719,5.7,11.24
843,844,The Princess and the Frog,"['Animation', 'Adventure', 'Comedy']",2009,95480,7.1,11.24
846,847,Home,"['Animation', 'Adventure', 'Comedy']",2015,77447,6.7,19.1
897,898,The Fall,"['Adventure', 'Comedy', 'Drama']",2006,93036,7.9,11.24
922,923,17 Again,"['Comedy', 'Drama', 'Family']",2009,152808,6.4,35.96
930,931,Footloose,"['Comedy', 'Drama', 'Music']",2011,39380,5.9,11.24
953,954,The Kings of Summer,"['Adventure', 'Comedy', 'Drama']",2013,65653,7.2,30.9
981,982,Annie,"['Comedy', 'Drama', 'Family']",2014,27312,5.3,19.66
